Drug,Indications,Side Effects,Drug Interactions,Dosage
Abaloparatide,"Abaloparatide is indicated for the treatment of postmenopausal women with osteoporosis at high risk for fracture, defined as a history of osteoporotic fracture, multiple risk factors for fracture, or patients who have failed or are intolerant to other available osteoporosis therapy.","Common side effects of abaloparatide include nausea, dizziness, headache, and increased heart rate.  Less common but more serious side effects may include orthostatic hypotension (low blood pressure upon standing), hypercalcemia (high blood calcium levels), and injection site reactions.  In rare cases, osteosarcoma (a type of bone cancer) has been reported in animal studies, although the relevance to humans is unclear.","No significant drug interactions have been identified for abaloparatide.  However, it's important to inform your doctor about all other medications you are taking, including over-the-counter drugs and supplements.  Co-administration with digoxin may require monitoring of digoxin levels. Concomitant use with other drugs that prolong the QT interval should be done with caution.",The recommended dosage of abaloparatide is 80 mcg administered subcutaneously once daily.
Abaloparatide Subcutaneous,"Abaloparatide subcutaneous is indicated for the treatment of postmenopausal women with osteoporosis at high risk for fracture, defined as a history of osteoporotic fracture, multiple risk factors for fracture, or patients who have failed or are intolerant to other available osteoporosis therapy.  It is specifically designed to reduce the risk of vertebral and nonvertebral fractures.","Common side effects of abaloparatide subcutaneous include nausea, dizziness, headache, injection site reactions (pain, redness, swelling), and increased heart rate.  More serious but rare side effects may include orthostatic hypotension (a drop in blood pressure upon standing) and hypercalcemia (elevated blood calcium levels).  Patients should be monitored for signs and symptoms of hypercalcemia.","Currently, no significant drug interactions have been identified for abaloparatide subcutaneous. However, it is important to inform your doctor about all other medications, supplements, and herbal remedies you are taking.  Co-administration with digoxin or other medications that affect heart rate may require monitoring.  As a precaution, concomitant use with other medications that increase serum calcium should generally be avoided.",The recommended dosage of abaloparatide subcutaneous is 80 mcg injected subcutaneously once daily in the abdomen or thigh.  Treatment duration is limited to a maximum of 2 years.  Patients should also receive adequate calcium and vitamin D supplementation.
Abametapir,Abametapir is indicated for the topical treatment of head lice infestations in patients 6 months of age and older.,"Common side effects of abametapir include: 
- Itching, redness, or irritation at the application site
- Eye irritation or tearing (if the lotion gets in the eyes)
- Dandruff
- Dry skin
- Feeling of something in the eye
- Erythema

Less common but more serious side effects may include severe allergic reactions. Seek immediate medical attention if you experience symptoms such as difficulty breathing, swelling of the face, lips, tongue, or throat, or hives.","There are no known significant drug interactions with abametapir. However, it's always important to inform your doctor about all other medications, including over-the-counter drugs and supplements, that you are currently taking.","Abametapir is typically applied as a single application to dry hair and scalp.  The lotion should be left on for 10 minutes and then thoroughly rinsed off with water.  Retreatment is usually not necessary, but your doctor may recommend a second application 7-9 days later if live lice are still present.  It is important to follow the instructions provided with the medication or as directed by your healthcare provider."
Abatacept,N/A,N/A,N/A,N/A
Abatacept Auto-Injectors,"['Moderate to severely active rheumatoid arthritis (RA) in adult patients who have had an inadequate response to one or more disease-modifying antirheumatic drugs (DMARDs) such as methotrexate (MTX). Abatacept can be used as monotherapy or in combination with DMARDs other than tumor necrosis factor (TNF) antagonists.', 'Moderate to severely active psoriatic arthritis (PsA) in adult patients who have had an inadequate response or who have been intolerant to a prior DMARD.  Abatacept can be used with or without MTX.', 'Moderate to severely active polyarticular juvenile idiopathic arthritis (pJIA) in patients 2 years of age and older who have had an inadequate response to one or more DMARDs. Abatacept can be used in combination with MTX.']","['Upper respiratory tract infections (URTIs) such as common cold, sinusitis, and nasopharyngitis', 'Headache', 'Nausea', 'Cough', 'Serious infections (e.g., pneumonia, cellulitis, sepsis). Patients should be screened for latent tuberculosis (TB) infection before starting abatacept and monitored for TB during treatment.', 'Malignancies (e.g., lymphoma, lung cancer). The risk of malignancy may be increased with abatacept use.', 'Hypersensitivity reactions (e.g., rash, urticaria, angioedema).', 'Chronic obstructive pulmonary disease (COPD) exacerbations.', 'Depression', 'Hypertension', 'Injection site reactions (with subcutaneous administration)']","['TNF antagonists:  Abatacept should not be used concomitantly with TNF antagonists due to an increased risk of serious infections.', 'Live vaccines: Live vaccines should not be administered concurrently with abatacept or within 3 months of discontinuing abatacept.', 'Immunosuppressants: Concomitant use of abatacept with other immunosuppressants may increase the risk of infections.', 'Biologic DMARDs: The safety of using abatacept with other biologic DMARDs has not been established.']","['**Rheumatoid Arthritis and Psoriatic Arthritis (Adults):** Subcutaneous injection: 125 mg once weekly.  Intravenous infusion: Weight-based dosing (see prescribing information for details).', '**Polyarticular Juvenile Idiopathic Arthritis:** Subcutaneous injection: Weight-based dosing (see prescribing information for details). Intravenous infusion: Weight-based dosing (see prescribing information for details).']"
Abatacept Infusion,"['Moderate to severe rheumatoid arthritis (RA) in adults who have not responded well to other disease-modifying antirheumatic drugs (DMARDs), including methotrexate.', 'Moderate to severe polyarticular juvenile idiopathic arthritis (pJIA) in children aged 2 years and older who have not responded well to other DMARDs, including methotrexate.', 'Active psoriatic arthritis (PsA) in adults who have not responded well to other DMARDs.', 'Giant cell arteritis (GCA) in adults, often in combination with glucocorticoids.']","['Upper respiratory tract infections (e.g., common cold, sinusitis)', 'Headache', 'Nausea', 'Injection site reactions (pain, swelling, redness)', 'Increased risk of infections (including serious infections like pneumonia and tuberculosis)', 'Hypersensitivity reactions (e.g., rash, itching, difficulty breathing)', 'Malignancies (although the risk is generally considered low)', 'Worsening of chronic obstructive pulmonary disease (COPD)', 'Depression', 'Hypertension']","['Live vaccines (should be avoided while taking abatacept and for several months after discontinuation)', 'Tumor necrosis factor (TNF) inhibitors (should not be used concomitantly with abatacept)', 'Other immunosuppressants (using abatacept with other immunosuppressants may increase the risk of infections)', 'Biologic DMARDs (should not be used concomitantly with abatacept)']","['For RA and PsA:  Intravenous infusion based on body weight, typically administered every 4 weeks after an initial loading dose.', 'For pJIA: Intravenous infusion based on body weight, typically administered every 4 weeks after an initial loading dose.', 'For GCA:  Intravenous infusion based on body weight, administered weekly for 6 weeks, followed by every 4 weeks. Often used in combination with glucocorticoids.']"
Abatacept Intravenous,"['Moderate to severe rheumatoid arthritis (RA) in adult patients who have had an inadequate response to one or more disease-modifying antirheumatic drugs (DMARDs), such as methotrexate (MTX).  It can be used as monotherapy or in combination with DMARDs other than tumor necrosis factor (TNF) antagonists.', 'Polyarticular juvenile idiopathic arthritis (pJIA) in patients 2 years of age and older who have had an inadequate response to other DMARDs, including TNF antagonists.', 'Active psoriatic arthritis (PsA) in adult patients who have had an inadequate response to previous DMARD therapy.  It can be used with or without methotrexate.', 'Adult-onset Still’s disease.']","['Upper respiratory tract infections (URTIs), such as common cold and sinusitis', 'Headache', 'Nausea', 'Injection site reactions (pain, swelling, redness)', 'Increased risk of infections (serious infections, including opportunistic infections, are possible)', 'Hypersensitivity reactions (including anaphylaxis, although rare)', 'Potential for malignancy (as with other immunomodulatory agents)', 'Pulmonary events (e.g., bronchitis, pneumonia, cough)', 'Hypertension', 'Abdominal pain', 'Depression', 'Dizziness', 'Fatigue', 'Influenza', 'Back pain', 'Rash']","['TNF antagonists:  Abatacept should not be administered concurrently with TNF antagonists due to an increased risk of serious infections.', 'Live vaccines:  Live vaccines should generally be avoided while receiving abatacept.  Consult with a healthcare professional regarding vaccination recommendations.', 'Other immunomodulators:  Concomitant use of abatacept with other immunomodulators (e.g., azathioprine, cyclophosphamide) may increase the risk of immunosuppression and infections.', 'CYP450 interactions:  Abatacept is not significantly metabolized by CYP450 enzymes, so clinically relevant interactions with drugs metabolized by this pathway are unlikely.']","['For RA and PsA: Intravenous infusion based on body weight.  The usual dose is approximately 10 mg/kg administered over 30 minutes at weeks 0, 2, and 4, then every 4 weeks thereafter.', 'For pJIA:  Intravenous infusion based on body weight.  Dosing varies depending on weight ranges.', 'Dose adjustments may be necessary for patients with renal impairment.']"
Abatacept Prefilled Syringes,"['Moderate to severely active rheumatoid arthritis (RA) in adult patients who have had an inadequate response to one or more disease-modifying antirheumatic drugs (DMARDs), such as methotrexate (MTX).  It can be used as monotherapy or in combination with DMARDs other than tumor necrosis factor (TNF) antagonists.', 'Moderate to severely active psoriatic arthritis (PsA) in adult patients who have had an inadequate response to or who have failed to tolerate previous DMARD therapy. It can be used with or without MTX.', 'Moderate to severely active polyarticular juvenile idiopathic arthritis (pJIA) in pediatric patients 2 years of age and older who have had an inadequate response to other DMARDs, including TNF antagonists.  It is administered with MTX.']","['Upper respiratory tract infections (URTIs) such as common cold and sinusitis', 'Headache', 'Nausea', 'Injection site reactions (pain, erythema, swelling)', 'Hypersensitivity reactions (rare but potentially serious, including anaphylaxis)', 'Increased risk of infections (including serious infections such as tuberculosis and opportunistic infections)', 'Potential for malignancy (although the risk is not fully understood)', 'Pulmonary events (e.g., bronchitis, pneumonia, interstitial lung disease)', 'Hypertension', 'Depression']","['TNF antagonists:  Abatacept should not be used concomitantly with TNF antagonists due to an increased risk of serious infections.', 'Live vaccines: Live vaccines should be avoided while taking abatacept and for 3 months after discontinuation. Inactivated vaccines can be administered, but the response may be diminished.', 'Immunosuppressants: Concurrent use with other immunosuppressants may increase the risk of infections.', 'Biologic DMARDs: Combining abatacept with other biologic DMARDs is not recommended due to limited safety and efficacy data and the potential for increased risk of infections.']","['Rheumatoid Arthritis and Psoriatic Arthritis (Adults):  Subcutaneous injection of 125 mg once weekly, regardless of weight.', 'Polyarticular Juvenile Idiopathic Arthritis (Pediatrics):  Dosage is weight-based.  See prescribing information for specific weight-based dosing recommendations.']"
Abatron,"[""Treatment of moderate to severe vasospastic angina (Prinzmetal's or variant angina)"", 'Treatment of chronic stable angina pectoris', 'Treatment of hypertension (high blood pressure)', 'Prevention of subarachnoid hemorrhage recurrence following rupture of a cerebral aneurysm']","['Headache', 'Dizziness', 'Lightheadedness', 'Nausea', 'Flushing', 'Peripheral edema (swelling in the hands, feet, or ankles)', 'Hypotension (low blood pressure)', 'Bradycardia (slow heart rate)', 'Constipation', 'Fatigue', 'Rash', 'Rarely:  hepatitis,  cholestatic jaundice,  leukopenia,  thrombocytopenia']","['Beta-blockers (may cause excessive bradycardia or hypotension)', 'Calcium channel blockers (may increase the risk of hypotension)', 'CYP3A4 inhibitors (e.g., ketoconazole, itraconazole, erythromycin) may increase nicardipine levels', 'CYP3A4 inducers (e.g., rifampin, phenytoin) may decrease nicardipine levels', 'Grapefruit juice may increase nicardipine levels']","['**For chronic stable angina or vasospastic angina:**', ' - Initial dose: 20 mg orally three times a day', ' - Maintenance dose: 20-40 mg orally three times a day', ' - Maximum dose: 120 mg/day', '**For hypertension:**', ' - Initial dose: 20 mg orally three times a day', ' - Maintenance dose: 20-40 mg orally three times a day', ' - Maximum dose: 120 mg/day', '**For prevention of subarachnoid hemorrhage recurrence:**', ' -  60 mg orally every 4 hours', '**Important Note:** Dosage adjustments may be necessary for patients with hepatic impairment.']"
Abatuss DMX,Abatuss DMX is indicated for the temporary relief of cough due to minor throat and bronchial irritation as may occur with the common cold or inhaled irritants. It also helps loosen phlegm (mucus) and thin bronchial secretions to drain bronchial tubes and make coughs more productive.,"Common side effects of Abatuss DMX may include:
- Nausea
- Vomiting
- Drowsiness
- Dizziness
- Headache
- Nervousness
- Sleeplessness
- Loss of appetite

Less common but more serious side effects can include:
- Allergic reactions (rash, itching, swelling, severe dizziness, trouble breathing)
- Fast or irregular heartbeat
- Hallucinations
- Seizures

If any of these serious side effects occur, seek immediate medical attention.","Abatuss DMX can interact with several medications, including:
- MAO inhibitors (e.g., isocarboxazid, phenelzine, tranylcypromine): Taking Abatuss DMX within 2 weeks of stopping an MAOI can cause a serious drug interaction.
- Antihistamines, antidepressants, and other medications that cause drowsiness: Abatuss DMX can increase the sedative effects of these medications.
- Alcohol: Alcohol can increase the drowsiness caused by Abatuss DMX.
- Potassium supplements: Guaifenesin (an expectorant in Abatuss DMX) can increase potassium levels, especially when taken with potassium supplements.

It is important to inform your doctor about all other medications, supplements, and herbal products you are taking before using Abatuss DMX.","The dosage of Abatuss DMX depends on the formulation and age of the patient.  It's crucial to follow the directions on the product label or as directed by a physician. Do not exceed the recommended dosage.  Generally, for adults and children 12 years and older, the usual dose is 10-20 mL every 4-6 hours as needed.  Consult a healthcare professional for appropriate dosing in children under 12 years of age.  Abatuss DMX should not be used in children under 4 years of age."
Abbokinase,"Abbokinase (Urokinase) is indicated for the following:

* **Pulmonary embolism:**  Treatment of acute massive pulmonary embolism in adults. 
* **Central venous catheter clearance:** Restoration of patency to occluded central venous catheters (e.g., Hickman, Broviac, Groshong).  It is important to note that this use is off-label in many regions and should be guided by local guidelines and institutional policies.","Common side effects of Abbokinase can include:

* **Bleeding:**  This is the most significant risk, and can manifest as internal bleeding, bleeding from puncture sites, hematuria (blood in urine), or gastrointestinal bleeding.
* **Hypotension (low blood pressure):** Can occur, especially with rapid administration.
* **Nausea and vomiting:** These are relatively common.
* **Allergic reactions:** Though rare, severe allergic reactions like anaphylaxis are possible.
* **Fever:**  A mild fever can sometimes occur.
* **Superficial bleeding/bruising:**  Minor bleeding or bruising at injection sites.

It is crucial to note that this is not an exhaustive list, and patients should consult with their healthcare provider for a complete understanding of potential side effects.","Abbokinase interacts with several medications, increasing the risk of bleeding. These include:

* **Anticoagulants (e.g., warfarin, heparin, dabigatran):**  Combining these with Abbokinase significantly increases the risk of bleeding.
* **Antiplatelet agents (e.g., aspirin, clopidogrel, ticagrelor):**  These medications also increase bleeding risk when used with Abbokinase.
* **Thrombolytic agents (e.g., alteplase, reteplase, streptokinase):** Concurrent use with other thrombolytics is generally avoided due to increased bleeding risk.
* **Nonsteroidal anti-inflammatory drugs (NSAIDs, e.g., ibuprofen, naproxen):**  These can also increase bleeding risk.

Patients should inform their healthcare provider about all medications and supplements they are taking, including over-the-counter drugs and herbal remedies.","The dosage of Abbokinase is dependent on the indication and administered intravenously. For pulmonary embolism, a loading dose is typically followed by a continuous infusion. For central venous catheter clearance, a lower dose is instilled directly into the catheter.  

**It is crucial to consult with clinical guidelines and prescribing information for specific dosing recommendations, as these can vary.**  Dosage should be individualized based on the patient's condition and response to therapy.  Self-administration is not appropriate, and administration should be performed by a qualified healthcare professional."
Abciximab,"['Abciximab is indicated as an adjunct to percutaneous coronary intervention (PCI) for the prevention of ischemic complications in patients undergoing PCI.', 'It is specifically used in patients with unstable angina or non-Q-wave myocardial infarction.']","['Bleeding (including major bleeding events such as intracranial hemorrhage, retroperitoneal bleeding, and gastrointestinal bleeding)', 'Thrombocytopenia (low platelet count)', 'Hypotension (low blood pressure)', 'Bradycardia (slow heart rate)', 'Allergic reactions (including anaphylaxis)', 'Back pain', 'Nausea', 'Vomiting', 'Headache', 'Dizziness', 'Pain at the injection site']","['Other antiplatelet agents (e.g., aspirin, clopidogrel, ticagrelor): Increased risk of bleeding.', 'Anticoagulants (e.g., warfarin, heparin): Increased risk of bleeding.', 'Thrombolytic agents (e.g., alteplase, reteplase): Increased risk of bleeding.', 'Nonsteroidal anti-inflammatory drugs (NSAIDs): Increased risk of bleeding.']","A bolus dose of 0.25 mg/kg intravenous (IV) is administered 10-60 minutes before the start of PCI, followed by a continuous IV infusion of 0.125 µg/kg/min (up to a maximum of 10 µg/min) for 12 hours after the procedure."
Abciximab Intravenous,Abciximab intravenous is indicated as an adjunct to percutaneous coronary intervention (PCI) for the prevention of cardiac ischemic complications in patients undergoing PCI.,"['Bleeding (including major bleeding events such as intracranial hemorrhage, retroperitoneal bleeding, and gastrointestinal bleeding)', 'Thrombocytopenia (low platelet count)', 'Hypotension (low blood pressure)', 'Bradycardia (slow heart rate)', 'Nausea', 'Vomiting', 'Back pain', 'Headache', 'Dizziness', 'Peripheral edema (swelling in the extremities)', 'Minor bleeding (e.g., at the catheter insertion site)', 'Allergic reactions (including rare cases of anaphylaxis)']","['Other antiplatelet agents (e.g., aspirin, clopidogrel, ticagrelor) – increased risk of bleeding', 'Anticoagulants (e.g., warfarin, heparin) – increased risk of bleeding', 'Thrombolytic agents (e.g., alteplase, reteplase) – increased risk of bleeding', 'Nonsteroidal anti-inflammatory drugs (NSAIDs) – increased risk of bleeding']","The recommended dosage of abciximab intravenous is a bolus of 0.25 mg/kg administered 10-60 minutes before PCI, followed by a continuous infusion of 0.125 mcg/kg/min for 12 hours."
ABDEK,"['Prevention and treatment of vitamin A, D, E, and K deficiencies.', 'Conditions causing fat malabsorption (e.g., cystic fibrosis, celiac disease, short bowel syndrome).', 'Long-term use of antibiotics that interfere with vitamin K production.', 'Newborns (vitamin K prophylaxis to prevent hemorrhagic disease of the newborn).']","['Generally well-tolerated when taken at recommended doses.', 'High doses of vitamin A can cause: Headache, nausea, vomiting, blurred vision, dizziness, increased intracranial pressure (pseudotumor cerebri).', 'High doses of vitamin D can cause:  Nausea, vomiting, constipation, weakness, confusion, heart rhythm problems, kidney stones.', 'High doses of vitamin E can cause: Fatigue, weakness, nausea, diarrhea, stomach cramps, increased risk of bleeding.', 'High doses of vitamin K can cause:  Jaundice in newborns, hemolytic anemia (rare).']","['Vitamin K can decrease the effectiveness of warfarin (Coumadin), a blood thinner.', 'Certain antibiotics (e.g., cholestyramine, colestipol) can reduce the absorption of fat-soluble vitamins.', 'Mineral oil and orlistat can decrease the absorption of fat-soluble vitamins.', 'High doses of vitamin E may increase the risk of bleeding in patients taking anticoagulants or antiplatelet medications (e.g., aspirin, clopidogrel).']","[""Dosage varies depending on the specific product and the individual's needs."", ""It's crucial to follow the healthcare provider's recommendations and the instructions on the product label."", 'For newborns, a single intramuscular injection of vitamin K is typically given shortly after birth.']"
